fill_date,decision_date,ticker,side,shares,decision_price,close_price,fill_price,half_spread_bp,impact_bp,slip_vs_decision_bp,participation_pct,over_participation_cap,notional_usd,cost_usd,reason
2026-08-18,2026-08-17,NAD,SELL,89.0,11.75,11.699999809265137,11.68691379197013,10.5,0.6846303490072808,53.69038981265617,0.0158447569877158,False,-1040.1353274853416,1.1646555392556746,target
2026-08-18,2026-08-17,MHD,SELL,60.0,11.539999961853027,11.520000457763672,11.506748072510284,10.67,0.8338061864456979,28.814462264005194,0.0231749710312862,False,-690.4048843506171,0.795143115203274,target
2026-08-18,2026-08-17,NEA,SELL,52.0,11.300000190734863,11.300000190734863,11.287356492282573,10.85,0.3391134857315109,11.18911348573115,0.004637060816836,False,-586.9425375986937,0.6574723195191936,target
2026-08-18,2026-08-17,NZF,SELL,48.0,12.300000190734863,12.279999732971191,12.26705302290417,9.96,0.5829237366026465,26.786314894133856,0.0085031000885739,False,-588.8185450994001,0.6214420832170333,target
2026-08-18,2026-08-17,NVG,SELL,31.0,12.40999984741211,12.380000114440918,12.367186087110577,9.93,0.4205874086336125,34.49940437385335,0.0052320675105485,False,-383.3827687004279,0.3972348472405773,target
2026-08-18,2026-08-17,JFR,SELL,16.0,7.639999866485596,7.639999866485596,7.627469609189672,16.09,0.3108606215944339,16.40086062159485,0.0031595576619273,False,-122.03951374703476,0.2004841167347706,target
2026-08-18,2026-08-17,MQY,SELL,15.0,11.239999771118164,11.149999618530272,11.13755728993435,10.92,0.2390394812623739,91.14099935041531,0.0023094688221709,False,-167.06335934901523,0.186634928938858,target
2026-08-18,2026-08-17,HYT,SELL,11.0,8.350000381469727,8.329999923706055,8.318135438950144,14.08,0.1630790691195091,38.16160606447072,0.0015723270440251,False,-91.49948982845156,0.1305093323150217,target
2026-08-18,2026-08-17,PCN,BUY,4.0,11.75,11.6899995803833,11.701753695785625,9.9,0.1548467273240797,-41.06068443776812,0.0008116883116883,False,46.80701478314249,0.0470164616092887,target
2026-08-18,2026-08-17,PFN,BUY,5.0,7.03000020980835,7.039999961853027,7.05209507112306,16.97,0.2105530334819185,31.42938926784522,0.0015782828282828,False,35.2604753556153,0.0604755463501627,target
2026-08-18,2026-08-17,PTY,BUY,11.0,11.68000030517578,11.670000076293944,11.681398824598665,9.65,0.117564893057779,1.1973624883077072,0.000476252327142,False,128.4953870705853,0.1253862313519125,target
2026-08-18,2026-08-17,DSL,BUY,24.0,10.779999732971191,10.699999809265137,10.712254564436964,11.08,0.373042420818227,-62.84338609677809,0.0029913997257883,False,257.0941095464872,0.2941141241238654,target
2026-08-18,2026-08-17,PDO,BUY,39.0,12.720000267028809,12.81999969482422,12.832161628128151,9.08,0.4066876703928528,88.17716882449477,0.0036757775683317,False,500.4543034969979,0.4743153988533741,target
2026-08-18,2026-08-17,BIT,BUY,47.0,12.109999656677246,12.050000190734863,12.061984334470289,9.52,0.4253473408553352,-39.649317562518995,0.0118298514976088,False,566.9132637201035,0.5632547555649072,target
2026-08-18,2026-08-17,PHK,BUY,74.0,4.550000190734863,4.550000190734863,4.561948103110369,25.77,0.4891469772579201,26.25914697725884,0.0063809605932568,False,337.58415963016733,0.8841455157874414,target
2026-08-18,2026-08-17,PDI,BUY,85.0,15.43000030517578,15.140000343322754,15.150970473799234,6.96,0.2857927527840455,-180.83592084113587,0.0009641779532203,False,1287.8324902729348,0.9324610905007802,target
2026-08-19,2026-08-18,PDO,SELL,54.0,12.81999969482422,12.710000038146973,12.697715556852676,9.08,0.5852094865680876,95.38544530614423,0.0072805716597006,False,-685.6766400700444,0.6633619898920884,target
2026-08-19,2026-08-18,NAD,SELL,24.0,11.699999809265137,11.8100004196167,11.79716613954578,10.5,0.367298573166151,-83.04814689287232,0.0042447824548991,False,-283.1319873490987,0.3080227217020592,target
2026-08-19,2026-08-18,MQY,SELL,13.0,11.149999618530272,11.199999809265137,11.187517840825238,10.92,0.2246148682726289,-33.648631012159754,0.0021273114056619,False,-145.4377319307281,0.1622655897186771,target
2026-08-19,2026-08-18,PHK,SELL,8.0,4.550000190734863,4.559999942779541,4.548149339165642,25.77,0.2181661460636992,4.0678054761189575,0.0012527403695584,False,-36.385194713325134,0.0948048289111938,target
2026-08-19,2026-08-18,NVG,SELL,6.0,12.380000114440918,12.369999885559082,12.357488735315986,9.93,0.1841069998737791,18.18366633023927,0.0010181571355845,False,-74.14493241189592,0.0750669014585767,target
2026-08-19,2026-08-18,MHD,SELL,3.0,11.520000457763672,11.550000190734863,11.537457392551191,10.67,0.1895653476560739,-15.15358862312688,0.0013704888076747,False,-34.612372177653576,0.0376283945510156,target
2026-08-19,2026-08-18,PFN,SELL,2.0,7.039999961853027,7.059999942779541,7.047922581077416,16.97,0.1367447592220692,-11.253720550168378,0.0006594131223211,False,-14.095845162154832,0.0241547234042496,target
2026-08-19,2026-08-18,AWF,SELL,1.0,10.149999618530272,10.199999809265137,10.187919924307314,11.76,0.0830246899125622,-37.35990857360427,0.0005336179295624,False,-10.187919924307314,0.0120798849578225,target
2026-08-19,2026-08-18,NZF,SELL,1.0,12.279999732971191,12.34000015258789,12.327586418232253,9.96,0.0997521897397292,-38.75137320507704,0.0002428953121204,False,-12.327586418232253,0.012413734355638,target
2026-08-19,2026-08-18,PTY,SELL,1.0,11.670000076293944,11.739999771118164,11.728606229945983,9.65,0.0548904551170002,-50.219497231271944,9.711566475672526e-05,False,-11.728606229945983,0.011393541172179,target
2026-08-19,2026-08-18,JFR,BUY,4.0,7.639999866485596,7.610000133514404,7.622352769041607,16.09,0.1421094750073729,-23.098295487414823,0.0006490345610903,False,30.489411076166427,0.0494105421088093,target
2026-08-19,2026-08-18,HYT,BUY,5.0,8.329999923706055,8.329999923706055,8.341803369438521,14.08,0.089802929859115,14.16980292985981,0.0004810004810004,False,41.70901684719261,0.0590172286623325,target
2026-08-19,2026-08-18,PCN,BUY,6.0,11.6899995803833,11.739999771118164,11.751868998638097,9.9,0.2100747455980667,52.92508167289878,0.0014584346135148,False,70.51121399182857,0.0712153651195848,target
2026-08-19,2026-08-18,NEA,BUY,9.0,11.300000190734863,11.329999923706056,11.342451421483352,10.85,0.1398480680884706,37.56746020526114,0.0009781545484186,False,102.08206279335016,0.1120634799956743,target
2026-08-19,2026-08-18,DSL,BUY,22.0,10.699999809265137,10.619999885559082,10.63209248494179,11.08,0.3066285433295423,-63.46479021854368,0.0019415762068661,False,233.90603466871937,0.2660371864195738,target
2026-08-19,2026-08-18,BIT,BUY,30.0,12.050000190734863,12.039999961853027,12.051801337751142,9.52,0.2818072554037472,1.4947277906807166,0.0051930067509087,False,361.5540401325343,0.3540412769434375,target
2026-08-19,2026-08-18,PDI,BUY,71.0,15.140000343322754,15.1899995803833,15.201056679597457,6.96,0.3191965237651127,40.32783017843711,0.0011770557029177,False,1079.2750242514194,0.7850540442049567,target
2026-08-20,2026-08-19,PHK,SELL,38.0,4.559999942779541,4.5,4.488219878047796,25.77,0.408048782674802,157.4124246326003,0.0037080405932864,False,-170.55235536581625,0.4476446341837441,target
2026-08-20,2026-08-19,PDI,SELL,29.0,15.1899995803833,14.989999771118164,14.979253214049136,6.96,0.2091509226931331,138.74020550094568,0.0004795290693828,False,-434.39834320742494,0.3116501550018231,target
2026-08-20,2026-08-19,BIT,SELL,25.0,12.039999961853027,11.880000114440918,11.868394905331687,9.52,0.2486944422856056,142.5291171636578,0.0028818443804034,False,-296.7098726332922,0.2901302277307227,target
2026-08-20,2026-08-19,PTY,SELL,21.0,11.739999771118164,11.65999984741211,11.64852362965022,9.65,0.1923824288789625,77.91835029927974,0.0012735763236096,False,-244.6189962226546,0.2410005729996971,target
2026-08-20,2026-08-19,HYT,SELL,18.0,8.329999923706055,8.279999732971191,8.268175510153698,14.08,0.2004628005094541,74.2189845361374,0.0022080471050049,False,-148.82715918276656,0.2128360107148772,target
2026-08-20,2026-08-19,AWF,SELL,15.0,10.199999809265137,10.140000343322754,10.12780271218168,11.76,0.2692216253286566,70.78146905245663,0.005091649694501,False,-151.9170406827252,0.1829644671161112,target
2026-08-20,2026-08-19,PCN,SELL,13.0,11.739999771118164,11.65999984741211,11.64809281327393,9.9,0.3118647461409972,78.28531485182478,0.0034501061571125,False,-151.42520657256108,0.1547914437963307,target
2026-08-20,2026-08-19,PFN,SELL,3.0,7.059999942779541,6.929999828338623,6.9181396967931175,16.97,0.1441873582823772,200.9351942438864,0.0004930966469428,False,-20.75441909037935,0.0355803946365167,target
2026-08-20,2026-08-19,DSL,BUY,13.0,10.619999885559082,10.529999732971191,10.541998827971694,11.08,0.3151522362651484,-73.44732432008061,0.0019423278051695,False,137.04598476363202,0.1559882350065375,target
2026-08-20,2026-08-19,NVG,BUY,15.0,12.369999885559082,12.260000228881836,12.27256015891585,9.93,0.3146409457848196,-78.77100044033524,0.0028653295128939,False,184.08840238373776,0.1883989505102068,target
2026-08-20,2026-08-19,MQY,BUY,17.0,11.199999809265137,11.119999885559082,11.132501857736912,10.92,0.32278085116303,-60.26602917652446,0.0041646251837334,False,189.2525315815275,0.2125335270231119,target
2026-08-20,2026-08-19,PDO,BUY,28.0,12.710000038146973,12.539999961853027,12.55180790670832,9.08,0.3362239961827312,-124.46273089210425,0.0021686933622492,False,351.450621387833,0.3306224559482231,target
2026-08-20,2026-08-19,MHD,BUY,38.0,11.550000190734863,11.43000030517578,11.442893655067229,10.67,0.6102708199462852,-92.73292978259408,0.0121173469387755,False,434.8299588925546,0.4899472958749342,target
2026-08-20,2026-08-19,NZF,BUY,39.0,12.34000015258789,12.270000457763672,12.282960365934564,9.96,0.6022719538615968,-46.22348942302512,0.0085978835978836,False,479.035454271448,0.5054364186647788,target
2026-08-20,2026-08-19,NEA,BUY,47.0,11.329999923706056,11.140000343322754,11.1524520992162,10.85,0.3275184108597132,-156.70593617425067,0.0032598141212373,False,524.1652486631614,0.5852325269919643,target
2026-08-20,2026-08-19,NAD,BUY,106.0,11.8100004196167,11.65999984741211,11.673224654641816,10.5,0.8420303625851814,-115.81351406871552,0.0181537934577838,False,1237.361813392033,1.4018295663490576,target
2026-08-21,2026-08-20,NEA,SELL,120.0,11.140000343322754,11.220000267028809,11.206983474437388,10.85,0.7514191458364932,-60.128482091819095,0.0174317257408483,False,-1344.8380169324869,1.5620151109704494,target
2026-08-21,2026-08-20,NAD,SELL,100.0,11.65999984741211,11.670000076293944,11.65675771491916,10.5,0.8473532889556418,2.7805596358287943,0.019588638589618,False,-1165.675771491916,1.3242361374784295,target
2026-08-21,2026-08-20,MHD,SELL,59.0,11.43000030517578,11.399999618530272,11.387054275987271,10.67,0.6855640141945588,37.57307790189901,0.0191932335718932,False,-671.836202283249,0.763775210037128,target
2026-08-21,2026-08-20,NVG,SELL,41.0,12.260000228881836,12.220000267028809,12.207382222078602,9.93,0.3957321395084547,42.918438679371285,0.005530824227708,False,-500.50267110522265,0.5173398429584832,target
2026-08-21,2026-08-20,NZF,SELL,24.0,12.270000457763672,12.229999542236328,12.217241944211434,9.96,0.4713969766198078,42.99797195105648,0.00571292549393,False,-293.2138066610744,0.3061823525974603,target
2026-08-21,2026-08-20,MQY,SELL,14.0,11.119999885559082,11.0600004196167,11.047583172221197,10.92,0.3071672010785556,65.12294431938793,0.0048176187198898,False,-154.66616441109673,0.1738414635370588,target
2026-08-21,2026-08-20,JFR,SELL,12.0,7.579999923706055,7.539999961853027,7.527689966448458,16.09,0.2362539348132321,69.01049839591722,0.0019114367633004,False,-90.3322795973815,0.1477199448548347,target
