recorded_utc,fill_date,instrument,side,qty,price,source,note
2026-09-10T16:08:08.673362+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5525b0.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.677711+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5525b1.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.682061+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5525b2.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.687387+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5525b3.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:37+00:00
2026-09-10T16:08:08.692740+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552622.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.697599+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552623.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.702077+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552624.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.706464+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552625.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.710847+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552626.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.715242+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552627.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.719649+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552628.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.724008+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552629.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.728395+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b55262a.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.732788+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b55262b.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.737163+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b55263e.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.741595+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b55263f.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.745973+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b552640.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.750363+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b552641.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.754842+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b552642.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.759515+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b552643.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.764098+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b552644.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.768628+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b552645.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.773146+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b552646.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.777671+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b552647.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.782501+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b552648.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.787193+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b552649.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.791977+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b55264a.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.796625+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b55264b.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:39+00:00
2026-09-10T16:08:08.801278+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b5526a8.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.805980+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b5526a9.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.810683+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b5526aa.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.815363+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b5526ab.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.820138+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b5526ac.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.824880+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b5526ad.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.829617+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b5526ae.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.834309+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b5526af.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.838989+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b5526b0.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.843542+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5526b2.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.848119+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b5526b1.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.852693+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5526b3.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.857290+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5526b4.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.861898+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5526b5.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.866494+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5526b6.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.871096+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5526b7.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.875706+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5526b8.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.880337+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5526b9.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.885066+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5526ba.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.890169+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5526bb.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.895259+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5526bc.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.900072+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5526bd.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.904896+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5526be.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.909698+00:00,2026-09-10,SJNK,SELL,1.0,24.63,ibkr_paper,execId=00012ec5.6b5526bf.01.01 orderRef='' commission=0.005705 time=2026-09-10 13:44:41+00:00
2026-09-10T16:08:08.914384+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552726.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:43+00:00
2026-09-10T16:08:08.919289+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552727.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:43+00:00
2026-09-10T16:08:08.924110+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552728.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:43+00:00
